environment,method,seed,true_utility,violation_rate,proxy_true_gap
monitoring_shift,PPO,307,0.49796875,0.50203125,2.51015625
monitoring_shift,PPO,331,0.49125,0.50875,2.54375
monitoring_shift,PPO,347,0.49453125,0.50546875,2.52734375
monitoring_shift,PPO,359,0.49578125,0.50421875,2.52109375
monitoring_shift,PPO,373,0.49609375,0.50390625,2.51953125
monitoring_shift,PPO,389,0.49671875,0.50328125,2.51640625
monitoring_shift,PPO,401,0.49375,0.50625,2.53125
monitoring_shift,CPO,11,1.0,0.0,0.0
monitoring_shift,CPO,17,1.0,0.0,0.0
monitoring_shift,CPO,23,1.0,0.0,0.0
monitoring_shift,CPO,31,1.0,0.0,0.0
monitoring_shift,CPO,47,1.0,0.0,0.0
monitoring_shift,CPO,59,1.0,0.0,0.0
monitoring_shift,CPO,71,1.0,0.0,0.0
monitoring_shift,CPO,83,1.0,0.0,0.0
monitoring_shift,CPO,97,1.0,0.0,0.0
monitoring_shift,CPO,109,1.0,0.0,0.0
monitoring_shift,CPO,127,1.0,0.0,0.0
monitoring_shift,CPO,139,1.0,0.0,0.0
monitoring_shift,CPO,151,1.0,0.0,0.0
monitoring_shift,CPO,163,1.0,0.0,0.0
monitoring_shift,CPO,179,1.0,0.0,0.0
monitoring_shift,CPO,191,1.0,0.0,0.0
monitoring_shift,CPO,211,1.0,0.0,0.0
monitoring_shift,CPO,223,1.0,0.0,0.0
monitoring_shift,CPO,239,1.0,0.0,0.0
monitoring_shift,CPO,251,1.0,0.0,0.0
monitoring_shift,CPO,269,1.0,0.0,0.0
monitoring_shift,CPO,281,1.0,0.0,0.0
monitoring_shift,CPO,293,1.0,0.0,0.0
monitoring_shift,CPO,307,1.0,0.0,0.0
monitoring_shift,CPO,331,1.0,0.0,0.0
monitoring_shift,CPO,347,1.0,0.0,0.0
monitoring_shift,CPO,359,1.0,0.0,0.0
monitoring_shift,CPO,373,1.0,0.0,0.0
monitoring_shift,CPO,389,1.0,0.0,0.0
monitoring_shift,CPO,401,1.0,0.0,0.0
monitoring_shift,PPOLag,11,1.0,0.0,0.0
monitoring_shift,PPOLag,17,1.0,0.0,0.0
monitoring_shift,PPOLag,23,1.0,0.0,0.0
monitoring_shift,PPOLag,31,1.0,0.0,0.0
monitoring_shift,PPOLag,47,1.0,0.0,0.0
monitoring_shift,PPOLag,59,1.0,0.0,0.0
monitoring_shift,PPOLag,71,1.0,0.0,0.0
monitoring_shift,PPOLag,83,1.0,0.0,0.0
monitoring_shift,PPOLag,97,1.0,0.0,0.0
monitoring_shift,PPOLag,109,1.0,0.0,0.0
monitoring_shift,PPOLag,127,1.0,0.0,0.0
monitoring_shift,PPOLag,139,1.0,0.0,0.0
monitoring_shift,PPOLag,151,1.0,0.0,0.0
monitoring_shift,PPOLag,163,1.0,0.0,0.0
monitoring_shift,PPOLag,179,1.0,0.0,0.0
monitoring_shift,PPOLag,191,1.0,0.0,0.0
monitoring_shift,PPOLag,211,1.0,0.0,0.0
monitoring_shift,PPOLag,223,1.0,0.0,0.0
monitoring_shift,PPOLag,239,1.0,0.0,0.0
monitoring_shift,PPOLag,251,1.0,0.0,0.0
monitoring_shift,PPOLag,269,1.0,0.0,0.0
monitoring_shift,PPOLag,281,1.0,0.0,0.0
monitoring_shift,PPOLag,293,1.0,0.0,0.0
monitoring_shift,PPOLag,307,1.0,0.0,0.0
monitoring_shift,PPOLag,331,1.0,0.0,0.0
monitoring_shift,PPOLag,347,1.0,0.0,0.0
monitoring_shift,PPOLag,359,1.0,0.0,0.0
monitoring_shift,PPOLag,373,1.0,0.0,0.0
monitoring_shift,PPOLag,389,1.0,0.0,0.0
monitoring_shift,PPOLag,401,1.0,0.0,0.0
monitoring_shift,RCPO,11,1.0,0.0,0.0
monitoring_shift,RCPO,17,1.0,0.0,0.0
monitoring_shift,RCPO,23,1.0,0.0,0.0
monitoring_shift,RCPO,31,1.0,0.0,0.0
monitoring_shift,RCPO,47,1.0,0.0,0.0
monitoring_shift,RCPO,59,1.0,0.0,0.0
monitoring_shift,RCPO,71,1.0,0.0,0.0
monitoring_shift,RCPO,83,1.0,0.0,0.0
monitoring_shift,RCPO,97,1.0,0.0,0.0
monitoring_shift,RCPO,109,1.0,0.0,0.0
monitoring_shift,RCPO,127,1.0,0.0,0.0
monitoring_shift,RCPO,139,1.0,0.0,0.0
monitoring_shift,RCPO,151,1.0,0.0,0.0
monitoring_shift,RCPO,163,1.0,0.0,0.0
monitoring_shift,RCPO,179,1.0,0.0,0.0
monitoring_shift,RCPO,191,1.0,0.0,0.0
monitoring_shift,RCPO,211,1.0,0.0,0.0
monitoring_shift,RCPO,223,1.0,0.0,0.0
monitoring_shift,RCPO,239,1.0,0.0,0.0
monitoring_shift,RCPO,251,1.0,0.0,0.0
monitoring_shift,RCPO,269,1.0,0.0,0.0
monitoring_shift,RCPO,281,1.0,0.0,0.0
monitoring_shift,RCPO,293,1.0,0.0,0.0
monitoring_shift,RCPO,307,1.0,0.0,0.0
monitoring_shift,RCPO,331,1.0,0.0,0.0
monitoring_shift,RCPO,347,1.0,0.0,0.0
monitoring_shift,RCPO,359,1.0,0.0,0.0
monitoring_shift,RCPO,373,1.0,0.0,0.0
monitoring_shift,RCPO,389,1.0,0.0,0.0
monitoring_shift,RCPO,401,1.0,0.0,0.0
monitoring_shift,Veto,11,1.0,0.0,0.0
monitoring_shift,Veto,17,1.0,0.0,0.0
monitoring_shift,Veto,23,1.0,0.0,0.0
monitoring_shift,Veto,31,1.0,0.0,0.0
monitoring_shift,Veto,47,1.0,0.0,0.0
monitoring_shift,Veto,59,1.0,0.0,0.0
monitoring_shift,Veto,71,1.0,0.0,0.0
monitoring_shift,Veto,83,1.0,0.0,0.0
monitoring_shift,Veto,97,1.0,0.0,0.0
monitoring_shift,Veto,109,1.0,0.0,0.0
monitoring_shift,Veto,127,1.0,0.0,0.0
monitoring_shift,Veto,139,1.0,0.0,0.0
monitoring_shift,Veto,151,1.0,0.0,0.0
monitoring_shift,Veto,163,1.0,0.0,0.0
monitoring_shift,Veto,179,1.0,0.0,0.0
monitoring_shift,Veto,191,1.0,0.0,0.0
monitoring_shift,Veto,211,1.0,0.0,0.0
monitoring_shift,Veto,223,1.0,0.0,0.0
monitoring_shift,Veto,239,1.0,0.0,0.0
monitoring_shift,Veto,251,1.0,0.0,0.0
monitoring_shift,Veto,269,1.0,0.0,0.0
monitoring_shift,Veto,281,1.0,0.0,0.0
monitoring_shift,Veto,293,1.0,0.0,0.0
monitoring_shift,Veto,307,1.0,0.0,0.0
monitoring_shift,Veto,331,1.0,0.0,0.0
monitoring_shift,Veto,347,1.0,0.0,0.0
monitoring_shift,Veto,359,1.0,0.0,0.0
monitoring_shift,Veto,373,1.0,0.0,0.0
monitoring_shift,Veto,389,1.0,0.0,0.0
monitoring_shift,Veto,401,1.0,0.0,0.0
